keyword,score
aned vlivem,4.00
sde pek,4.00
cil ev,4.00
chertová 1977a,4.00
proato- zu,4.00
moraäoký soubor,4.00
čt žneiníkovitó,4.00
odstatnějäí zmnou,4.00
přildha- jících,4.00
uvádndho tomíčkon,4.00
nu- vylinuji,4.00
ji- miš,4.00
uzavírané závorou,4.00
tří kocorrů,4.00
vysoltého ýte,4.00
stichově zapě,4.00
uchou ihotu,4.00
roheologický nateriál,4.00
—ve—ee z—st—---,4.00
čaše stř-,4.00
tilís cích,4.00
novovlých strepů,4.00
zomních pracích,4.00
eke- cimbork,4.00
bj1 rialezon,4.00
demace ro_,4.00
jacnný typ,4.00
ivora rybníček,4.00
ostr ivku,4.00
arek eologický,4.00
játo- myäl,4.00
močálovité polohy,4.00
osík má,4.00
pečetí osiku,4.00
pečeti sv,4.00
sondě i11/67,4.00
ire vín,4.00
„poe veí,4.00
„ne vräíol,4.00
„i opovae,4.00
obkloponou zástavbou,4.00
vo- iatie,4.00
kiižovasce cout,4.00
jenišovickán hibitově,4.00
sán joen,4.00
meliorač- nío,4.00
nabylo alyšot,4.00
vroholu chlumu,4.00
dá iloná,4.00
aokýni mozezi,4.00
byl-li klenuta,4.00
právt souseda,4.00
chodba prý,4.00
ja vrcholu,4.00
53alravin čie,4.00
výskyt jaóna,4.00
2j okolí,4.00
nál0ay minoí,4.00
vysu- šeny,4.00
archeolo_ický matoril,4.00
plušína seznány,4.00
is #ruvína,4.00
loka- linaci,4.00
popovoc naloznowo,4.00
„ve vože®,4.00
„pžoní hona,4.00
„zad „zadhona,4.00
troba uvažovat,4.00
jaký asacerdos,4.00
kláätor žonský,4.00
premautrátaké dokseny,4.00
oblasti etathy,4.00
